"","type","variable","obs","pred"
"4136...18256","calibration","P retention",50,53.7285702880741
"6834...18257","calibration","P retention",35,37.6426322319814
"1446...18258","calibration","P retention",26.943005181,29.4901480555039
"3825...18259","calibration","P retention",7,12.2518907104036
"1936...18260","calibration","P retention",12,16.3289247116763
"866...18261","calibration","P retention",21,25.6146473772772
"1278...18262","calibration","P retention",23.897058824,27.5507453561562
"1598...18263","calibration","P retention",25.493354813,17.0218517538967
"6089...18264","calibration","P retention",57,51.6377234864509
"1904...18265","calibration","P retention",21,20.2972303252795
"7686...18266","calibration","P retention",21,15.4541463993092
"1200...18267","calibration","P retention",16,16.9305896656107
"1052...18268","calibration","P retention",23,27.5259236896232
"2066...18269","calibration","P retention",33,40.076235317731
"5635...18270","calibration","P retention",72,72.7969836764442
"1844...18271","calibration","P retention",26.383838384,29.5590429588515
"6968...18272","calibration","P retention",29,39.24127100808
"1860...18273","calibration","P retention",17.474747475,12.6269665987554
"1380...18274","calibration","P retention",18.513351933,21.8437717679394
"5415...18275","calibration","P retention",23,24.7119964693775
"6569...18276","calibration","P retention",62,52.2890825071737
"1532...18277","calibration","P retention",30.527587596,32.3958034077571
"6555...18278","calibration","P retention",37,42.1359968169923
"3429...18279","calibration","P retention",16,15.1246213571596
"1186...18280","calibration","P retention",18,14.007249210202
"1156...18281","calibration","P retention",22,23.0251554223276
"6017...18282","calibration","P retention",38,44.9424461861472
"8392...18283","calibration","P retention",29,26.1850531363185
"3769...18284","calibration","P retention",30,26.9305039210371
"1126...18285","calibration","P retention",35,40.6340647295645
"1928...18286","calibration","P retention",15,20.1735712394861
"1426...18287","calibration","P retention",27.281785572,28.8310609253072
"1444...18288","calibration","P retention",22.279792746,27.4937732220876
"3388...18289","calibration","P retention",38,37.0117973876836
"1992...18290","calibration","P retention",41,43.7308159175934
"1504...18291","calibration","P retention",27.111826227,27.405335599796
"1926...18292","calibration","P retention",14,18.0831699622056
"1900...18293","calibration","P retention",17,20.5321814671696
"1086...18294","calibration","P retention",33,40.4748369114617
"6848...18295","calibration","P retention",47,49.9035161657219
"3950...18296","calibration","P retention",13,13.7849836368665
"425...18297","calibration","P retention",22,25.2248872932813
"1516...18298","calibration","P retention",16.069271043,14.9872246118242
"2114...18299","calibration","P retention",58,56.9915908463165
"850...18300","calibration","P retention",20,24.3772510579564
"8256...18301","calibration","P retention",63,59.9663012262478
"8325...18302","calibration","P retention",25,30.805608838872
"1408...18303","calibration","P retention",25.80709446,28.860783630455
"6274...18304","calibration","P retention",13,16.9142503878949
"3821...18305","calibration","P retention",41,38.9902911121348
"6550...18306","calibration","P retention",86,78.3753300675661
"8512...18307","calibration","P retention",35,30.7065202885609
"4502...18308","calibration","P retention",50,65.7606159536458
"1390...18309","calibration","P retention",26.863292148,30.1900440286235
"1908...18310","calibration","P retention",24,29.126242076929
"2036...18311","calibration","P retention",58,57.2429478644419
"3452...18312","calibration","P retention",21,10.5126422615019
"8504...18313","calibration","P retention",27,23.9461862089592
"1938...18314","calibration","P retention",13,13.0008967880026
"6376...18315","calibration","P retention",23,22.7407885140978
"1890...18316","calibration","P retention",10,14.4151294507986
"1062...18317","calibration","P retention",20,25.2857754344776
"8436...18318","calibration","P retention",24,14.8890943089309
"1368...18319","calibration","P retention",24.89039458,23.4130264669
"1084...18320","calibration","P retention",30,34.6236483058769
"7223...18321","calibration","P retention",29,32.8780124867537
"1178...18322","calibration","P retention",17,21.4785635367366
"4160...18323","calibration","P retention",48,45.6699507619277
"8166...18324","calibration","P retention",33,26.9553914406023
"1612...18325","calibration","P retention",28.936770036,29.7679350833673
"7558...18326","calibration","P retention",16,17.33074818615
"7683...18327","calibration","P retention",20,18.9626188724242
"1878...18328","calibration","P retention",12,13.4384477487491
"5637...18329","calibration","P retention",99,96.280809624689
"5618...18330","calibration","P retention",98,91.3211471541413
"4762...18331","calibration","P retention",68,65.7116938951919
"974...18332","calibration","P retention",29,23.650079423909
