"","type","variable","obs","pred"
"6595...2808","calibration","carbon",4,4.10548157976705
"5554...2809","calibration","carbon",1.20000005,1.12552797867074
"8231...2810","calibration","carbon",4.69999981,4.56234642765378
"6360...2811","calibration","carbon",0.600000024,0.63648959083784
"4240...2812","calibration","carbon",3.5999999,5.18177695670829
"5718...2813","calibration","carbon",0.200000003,0.0876316844771522
"5090...2814","calibration","carbon",0.5,0.631620881734738
"4997...2815","calibration","carbon",0.300000012,0.390530527938782
"5472...2816","calibration","carbon",0.699999988,0.514109646353707
"3670...2817","calibration","carbon",4.19999981,4.1883348625596
"5734...2818","calibration","carbon",0.300000012,0.217064696922228
"6642...2819","calibration","carbon",1.39999998,1.25893372316328
"2689","calibration","carbon",1.04388066891039,1.13573255368137
"3512...2821","calibration","carbon",0.800000012,0.790793191268715
"6249...2822","calibration","carbon",0.200000003,0.274988170523956
"6179...2823","calibration","carbon",8.19999981,7.15156807728432
"4365...2824","calibration","carbon",0.400000006,0.552156390130927
"6493...2825","calibration","carbon",1.39999998,1.33796634139533
"5735...2826","calibration","carbon",0.300000012,0.204712394318411
"4382...2827","calibration","carbon",1.39999998,1.39698591467806
"4126...2828","calibration","carbon",0.100000001,0.118180368907164
"6110...2829","calibration","carbon",13.1999998,10.5179532105599
"3610...2830","calibration","carbon",1,0.897278576587223
"3762...2831","calibration","carbon",4,4.26296309455452
"3159","calibration","carbon",0.32494723067741,0.265278965744833
"5456...2833","calibration","carbon",0.699999988,0.706790715392356
"4782...2834","calibration","carbon",4.80000019,4.0745946131141
"6181...2835","calibration","carbon",3.4000001,2.92926992983511
"4999...2836","calibration","carbon",0.200000003,0.271076015636706
"5626...2837","calibration","carbon",8.39999962,6.77155717272018
"4201...2838","calibration","carbon",0.699999988,0.59579387976002
"3131","calibration","carbon",2.49279238769165,4.46942277014887
"4088...2840","calibration","carbon",0.5,0.85699606666952
"6208...2841","calibration","carbon",0.100000001,0.165174575020507
"3909...2842","calibration","carbon",0.300000012,0.274791295146591
"7525...2843","calibration","carbon",0.0900000036,0.0571509709830615
"5545...2844","calibration","carbon",0.699999988,0.639851591470702
"6210...2845","calibration","carbon",0.100000001,0.1237139376812
"4179...2846","calibration","carbon",2.9000001,2.52335060499236
"8524...2847","calibration","carbon",0.610000014,0.544213747903894
"6805...2848","calibration","carbon",5.69999981,4.99895986142048
"6166...2849","calibration","carbon",1,1.16755320130935
"6212...2850","calibration","carbon",4,3.00661432534519
"4337...2851","calibration","carbon",3.5,3.48228943652871
"5448...2852","calibration","carbon",0.300000012,0.312352980472747
"5588...2853","calibration","carbon",0.699999988,0.823231282059487
"5667...2854","calibration","carbon",1,1.28365655356104
"3568...2855","calibration","carbon",4,3.9481666246586
"3572...2856","calibration","carbon",4.9000001,4.48862828825684
"6209...2857","calibration","carbon",0.100000001,0.112166403915491
"5590...2858","calibration","carbon",0.300000012,0.422398742398055
"5957...2859","calibration","carbon",5.5999999,5.48572530181733
"3836...2860","calibration","carbon",1.29999995,1.34080619655903
"5739...2861","calibration","carbon",0.300000012,0.22958653841709
"4837...2862","calibration","carbon",0.400000006,0.411619023175799
"3573...2863","calibration","carbon",3.9000001,3.78789363036347
"5898...2864","calibration","carbon",3.20000005,1.98287150147955
"6616...2865","calibration","carbon",1.1,1.1885340372058
"5593...2866","calibration","carbon",0.699999988,0.93408551391398
"3835...2867","calibration","carbon",1.89999998,1.51263982967764
"4086...2868","calibration","carbon",3.4000001,4.15365941444229
"4346...2869","calibration","carbon",4.5,3.70528998091917
"6167...2870","calibration","carbon",0.699999988,0.897818668004102
"5003...2871","calibration","carbon",0.300000012,0.274361166786819
"6498...2872","calibration","carbon",1,1.09225630440972
"6265...2873","calibration","carbon",0.300000012,0.447432666535834
"6960...2874","calibration","carbon",0.97,1.10300652100225
"5452...2875","calibration","carbon",0.300000012,0.328573987257343
"3537...2876","calibration","carbon",1.79999995,1.74485271997517
"5001...2877","calibration","carbon",0.300000012,0.286206028527958
"6266...2878","calibration","carbon",0.200000003,0.30222429928498
"6800...2879","calibration","carbon",3.5,2.88597957446374
