,upper,lower,pred,obs,type,variable
19564,3.604970559,0.175680772,1.8903257,1.7501522, Calibration,carbon
19566,4.309464181,0.239597118,2.2745306,2.2, Calibration,carbon
19568,3.594625697,0.368624225,1.981625,1.8, Calibration,carbon
19570,10.98176042,0.209681909,5.3860393,5, Calibration,carbon
19572,8.167804015,0.053417457,4.0571933,4.2, Calibration,carbon
19574,2.765746261,0.230457927,1.2676442,1.3376427, Calibration,carbon
19576,4.924709589,0.17937681,2.5520432,2.6148317, Calibration,carbon
19578,9.042593725,0.068814046,4.48689,4.7, Calibration,carbon
19580,1.733731184,0.221779075,0.9777551,1.1309246, Calibration,carbon
19582,12.79731483,0.482217974,6.1575484,7.5, Calibration,carbon
19585,65.93928516,5.417091251,30.261097,33, Calibration,carbon
19586,4.954501005,0.305333761,2.6299174,3.1, Calibration,carbon
19588,5.01214549,0.277309924,2.6447277,2.735, Calibration,carbon
19590,23.29757841,1.427499374,10.9350395,12.2, Calibration,carbon
19592,4.448355089,0.27544557,2.3619003,2.33, Calibration,carbon
19594,4.393650083,0.349501582,2.3715758,2.48, Calibration,carbon
19596,3.660834499,0.093597464,1.877216,2.3, Calibration,carbon
19598,3.240299302,0.051276368,1.6457878,1.7, Calibration,carbon
19600,7.977287204,0.22050944,3.878389,3.6, Calibration,carbon
19602,2.269556405,0.20545709,1.2375067,1.6, Calibration,carbon
19604,5.461528314,0.21160935,2.8365688,3.2, Calibration,carbon
19606,5.056135784,0.109873643,2.5830047,3.2, Calibration,carbon
19608,1.433825146,0.117296327,0.77556074,0.6193144, Calibration,carbon
19610,3.925346434,0.162591398,2.043969,1.8, Calibration,carbon
19612,19.21471331,1.129889697,9.042412,9.8, Calibration,carbon
19614,1.4343619,0.117884671,0.7761233,0.6, Calibration,carbon
19616,10.94696203,0.312588369,5.317187,6.3, Calibration,carbon
19618,3.236952667,0.23525321,1.7361029,2.021, Calibration,carbon
19620,1.50606379,0.152130275,0.82909703,1.1, Calibration,carbon
19622,8.858652831,0.018192054,4.4202304,4.343113, Calibration,carbon
19624,5.565043354,0.210786915,2.8879151,2.9, Calibration,carbon
19626,4.582257695,0.277434879,2.4298463,2.57, Calibration,carbon
19628,1.80810252,0.223587839,1.0158452,1.3, Calibration,carbon
19630,6.292848001,0.149997343,3.2214227,3.31, Calibration,carbon
19632,2.290159174,0.170296721,1.230228,1.39, Calibration,carbon
19634,1.645941323,0.184659296,0.9153003,1.4, Calibration,carbon
19636,2.033474931,0.208209029,1.120842,1.2509514, Calibration,carbon
19638,7.264471747,0.157104231,3.5536838,4, Calibration,carbon
19640,1.83457896,0.185471566,1.0100253,1.11, Calibration,carbon
19642,1.577479281,0.171557985,0.87451863,0.81, Calibration,carbon
19644,5.008999432,0.135813628,2.5724065,2.8, Calibration,carbon
19646,14.24163769,0.442294583,6.8996716,8.3, Calibration,carbon
19648,4.344165186,0.271109244,2.3076372,2.492, Calibration,carbon
19650,1.676901557,0.220886729,0.94889414,1.5, Calibration,carbon
19652,11.28001354,0.343712306,5.4681506,6.3, Calibration,carbon
19654,5.880005908,0.125728536,3.0028672,2.4927924, Calibration,carbon
19656,12.05415043,0.616244169,5.718953,6.4446135, Calibration,carbon
19658,7.139580966,0.030106306,3.5848436,3.9, Calibration,carbon
19660,7.799197221,0.041303134,3.9202502,4.5, Calibration,carbon
19662,1.433825146,0.117296327,0.77556074,0.81855106, Calibration,carbon
19664,15.75489164,0.676733259,7.539079,7.52718, Calibration,carbon
19666,4.109963583,0.274389578,2.1921766,2.4, Calibration,carbon
19668,4.371268128,0.249590541,2.3104293,2.324, Calibration,carbon
